,country,region,lead_investors,company_link,img_src,company_name,post_money_value,total_eq_funding
113,United States,North America,ShawSpring Partners,https://www.crunchbase.com/organization/roman-2,https://images.crunchbase.com/image/upload/t_cb-default-original/eypcpjihrnh2gfpzhemz,Ro,$7B,$1B
114,China,Asia,"Hillhouse Investment, Shunwei Capital",https://www.crunchbase.com/organization/meicai,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Meicai,$7B,$1B
115,United Kingdom,Europe,,https://www.crunchbase.com/organization/constellation-automotive-group,https://images.crunchbase.com/image/upload/t_cb-default-original/yw1iunvaajdftyeykbrq,Constellation Automotive Group,$7B,$1B
116,United States,North America,Coatue,https://www.crunchbase.com/organization/attentive,https://images.crunchbase.com/image/upload/t_cb-default-original/993eb0fff62d4ae7bab829caf24cf335,Attentive,$7B,$863M
117,United States,North America,"Sequoia Capital, Vy Capital",https://www.crunchbase.com/organization/the-boring-company,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",The Boring Company,$7B,$908M
118,United States,North America,WestCap,https://www.crunchbase.com/organization/nydig,https://images.crunchbase.com/image/upload/t_cb-default-original/pn3fjargwqaw4vvijc1f,NYDIG,$7B,$1B
119,United States,North America,Mirae Asset,https://www.crunchbase.com/organization/impossible-foods,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Impossible Foods,$7B,$2B
120,South Korea,Asia,Tonic Private Equity,https://www.crunchbase.com/organization/toss,https://images.crunchbase.com/image/upload/t_cb-default-original/eyrz2nf85okbm0zy3zss,Toss,$7B,$1B
121,Canada,North America,ICONIQ Growth,https://www.crunchbase.com/organization/1password,https://images.crunchbase.com/image/upload/t_cb-default-original/kpb4wcjv1pw3lvtmv3yh,1Password,$7B,$920M
122,United States,North America,"Arctic Ventures, Mindrock Capital",https://www.crunchbase.com/organization/automation-anywhere,https://images.crunchbase.com/image/upload/t_cb-default-original/vqgertgtthpygrr2tcyb,Automation Anywhere,$7B,$853M
123,China,Asia,"Millennium Management, Sequoia Capital China",https://www.crunchbase.com/organization/guahao,https://images.crunchbase.com/image/upload/t_cb-default-original/fipjjssz3lzgp1a4kcjo,WeDoctor,$7B,$1B
124,Sweden,Europe,SoftBank Vision Fund,https://www.crunchbase.com/organization/klarna,https://images.crunchbase.com/image/upload/t_cb-default-original/i7yjhhitbze4kylwmbfy,Klarna,$7B,$4B
125,India,Asia,"Arrow Capital Partners, Axis Asset Management Company",https://www.crunchbase.com/organization/ola,https://images.crunchbase.com/image/upload/t_cb-default-original/carfqh5pbahktx7heug0,Ola,$7B,$4B
126,China,Asia,SoftBank Vision Fund,https://www.crunchbase.com/organization/ziroom,https://images.crunchbase.com/image/upload/t_cb-default-original/ixljae3darzgbutz0d0u,Ziroom,$7B,$2B
127,India,Asia,"Alkeon Capital, Lone Pine Capital",https://www.crunchbase.com/organization/razorpay,https://images.crunchbase.com/image/upload/t_cb-default-original/e1coxnwqud3yzpntnws3,Razorpay,$7B,$742M
128,India,Asia,Anand Piramal,https://www.crunchbase.com/organization/snapdeal,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Snapdeal,$7B,$2B
129,The Netherlands,Europe,Blackstone Group,https://www.crunchbase.com/organization/mollie,https://images.crunchbase.com/image/upload/t_cb-default-original/w0wtp7bpu3lq6ebrwvyn,Mollie,$6B,$928M
130,India,Asia,GIC,https://www.crunchbase.com/organization/cred-6ab0,https://images.crunchbase.com/image/upload/t_cb-default-original/dxmayeedemvmiryaan5n,CRED,$6B,$801M
